question,answer
what is rift valley fever?,Rift Valley fever is a viral disease that affects both humans and animals. It is most commonly found in sub-Saharan Africa.
what are the symptoms of malaria?,"Fever, Chills, Headache, Sweats, Fatigue, Nausea and vomiting, Muscle pain, Joint pain, Anemia, Convulsions"
what are the treatments for heart failure?,"Medications to improve heart function and control symptoms, Lifestyle changes (e.g., reducing salt intake, exercising regularly), Surgery (e.g., implanting a pacemaker, heart transplant)"
what is autoimmune disorders?,Autoimmune disorders refer to a group of diseases in which the immune system attacks healthy cells in the body by mistake.
what are the treatments for lou gehrig's disease?,"Riluzole (Rilutek), Edaravone (Radicava), Physical therapy and occupational therapy, Breathing support"
what are the symptoms of primary biliary cirrhosis?,"Fatigue, Itching, Dry eyes and mouth, Enlarged liver or spleen, Jaundice, Osteoporosis"
what are the treatments for colorectal cancer?,"Surgery to remove the cancerous tissue, Radiation therapy, Chemotherapy, Immunotherapy"
what are the treatments for haemophilus influenzae infection?,"Antibiotics, Pain relief medication, Rest"
what are the symptoms of prostate cancer?,"Frequent urination, especially at night, Difficulty starting or stopping urination, Weak or interrupted urine flow, Blood in urine or semen, Painful or burning urination, Painful ejaculation, Difficulty getting or maintaining an erection"
what are the symptoms of raynaud's disease?,"Numbness, Tingling, Color changes in fingers and toes, Cold fingers and toes"
what are the treatments for peripheral neuropathy?,"Treatment of the underlying condition that caused the neuropathy, Medications to relieve pain, such as over-the-counter painkillers, anti-seizure drugs, and antidepressants, Topical treatments like capsaicin cream or lidocaine patches, Physical therapy to help maintain strength and balance, Occupational therapy to help with everyday activities, Surgery, in severe cases"
what are the symptoms of carotid artery disease?,"Transient ischemic attacks (mini-strokes), Weakness or numbness on one side of the body, Trouble speaking or understanding speech, Dizziness"
what are the treatments for cirrhosis of the liver?,"Medications to manage complications, Dietary changes to limit salt and fluid intake, Alcohol abstinence, Liver transplant"
what are the symptoms of japanese encephalitis?,"Fever, Headache, Vomiting, Seizures, Stiff neck, Muscle weakness, Confusion"
what are the symptoms of brucellosis?,"Fever, Fatigue, Loss of appetite, Joint pain, Muscle pain, Sweating, Headache"
what are the treatments for diverticulitis?,"Antibiotics to treat the infection, Liquid diet or low-fiber diet to help the colon rest, Surgery to remove the affected part of the colon in severe cases"
what are the symptoms of measles?,"Fever, Cough, Runny nose, Red, watery eyes, Rash, Small white spots with bluish-white centers inside the mouth, Body aches"
what are the treatments for rift valley fever?,"Symptomatic treatment, Fluid and electrolyte replacement, Supportive care"
what are the symptoms of erectile dysfunction?,"Difficulty getting an erection, Difficulty maintaining an erection, Reduced sexual desire"
what are the symptoms of cystic fibrosis?,"Persistent cough with thick mucus, Wheezing or shortness of breath, Poor growth or weight gain, Frequent respiratory infections, Salty-tasting skin, Difficulty with bowel movements"
what is impetigo?,Impetigo is a highly contagious bacterial skin infection that causes sores and blisters. It is common in children and can spread easily through contact with the infected person.
what are the treatments for down syndrome?,"Early intervention and special education, Speech and physical therapy, Treatment of associated health issues"
what are the symptoms of kidney stones?,"Severe pain in the side and back, below the ribs, Pain that radiates to the lower abdomen and groin, Painful urination, Pink, red or brown urine, Nausea and vomiting"
what are the symptoms of varicella (chickenpox)?,"Fever, Headache, Tiredness, Rash, Itching"
what is pneumococcal disease?,"Pneumococcal disease is an infection caused by Streptococcus pneumoniae bacteria. It can lead to pneumonia, meningitis, and other infections."
what are the treatments for onchocerciasis?,"Ivermectin, Doxycycline, Surgery (for advanced cases)"
what are the treatments for otitis media?,"Watchful waiting, Antibiotics, Pain relievers, Surgery"
what are the treatments for bacterial meningitis?,"Antibiotics, Corticosteroids, Supportive care"
what are the treatments for ischemic heart disease?,"Lifestyle changes (e.g. exercise, healthy diet), Medications to lower blood pressure and cholesterol, Angioplasty or coronary artery bypass surgery"
what are the treatments for muscular dystrophy?,"Physical therapy, Respiratory therapy, Orthopedic devices (e.g., braces, wheelchairs), Medications to improve muscle strength or delay progression of the disease"
what are the symptoms of group a streptococcal infection?,"fever, sore throat, swollen lymph nodes, nausea, vomiting, abdominal pain, rash"
what are the symptoms of human papillomavirus infection?,"Genital warts, Abnormal Pap test results, No symptoms in many cases"
what are the symptoms of chronic obstructive pulmonary disease?,"Shortness of breath, especially during physical activities, Wheezing, Chest tightness, Chronic cough, Frequent respiratory infections, Lack of energy, Unintended weight loss"
what are the symptoms of migraine headaches?,"Throbbing or pulsing pain on one side of the head, Sensitivity to light and sound, Nausea and vomiting, Blurred vision, Lightheadedness, Fatigue, Irritability"
what are the symptoms of tetanus?,"Muscle stiffness and spasms, Jaw cramping, Fever, Sweating"
what are the symptoms of rabies?,"Fever, Headache, Muscle weakness, Seizures, Excessive salivation, Paralysis"
what are the symptoms of spondylitis?,"Stiffness in the back or neck, Pain in the back or neck, Reduced mobility, Fatigue, Loss of appetite"
what are the symptoms of brucellosis?,"Fever, Fatigue, Loss of appetite, Joint pain, Muscle pain, Sweating, Headache"
what are the symptoms of pneumococcal disease?,"Fever, Cough, Chest pain, Shortness of breath, Stiff neck, Headache"
what are the treatments for leukemia?,"Chemotherapy, Radiation therapy, Stem cell transplant, Targeted therapy, Biological therapy"
what are the symptoms of chlamydia?,"Painful urination, Abnormal vaginal discharge, Pain during sex"
what are the treatments for gallstones?,"Surgery to remove the gallbladder (cholecystectomy), Medications to dissolve gallstones, Lithotripsy"
what are the symptoms of rotavirus infection?,"Diarrhea, Vomiting, Fever, Abdominal pain"
what are the symptoms of monkeypox?,"Fever, Headache, Muscle aches, Backache, Swollen lymph nodes, Chills, Exhaustion, Rash"
what are the symptoms of cystic fibrosis?,"Persistent cough with thick mucus, Wheezing or shortness of breath, Poor growth or weight gain, Frequent respiratory infections, Salty-tasting skin, Difficulty with bowel movements"
what are the symptoms of kidney stones?,"Severe pain in the side and back, below the ribs, Pain that radiates to the lower abdomen and groin, Painful urination, Pink, red or brown urine, Nausea and vomiting"
what are the treatments for hashimoto's thyroiditis?,"Synthetic thyroid hormone replacement therapy, Lifestyle changes such as a healthy diet and exercise, Avoiding certain foods such as soy and high-fiber foods"
what are the symptoms of systemic lupus erythematosus?,"Fatigue, Fever, Joint pain, Skin rashes, Chest pain, Shortness of breath, Headaches, Confusion, Memory loss"
what are the symptoms of common cold?,"Runny nose, Sore throat, Cough"
what are the symptoms of herpes zoster?,"Pain, burning, or tingling on one side of the body, A rash that appears as a band or stripe on one side of the body, Blisters that break open and crust over, Itching, Fever, Headache, Sensitivity to light"
what are the symptoms of erysipelas?,"Redness, warmth, and swelling of the skin, Fever, Chills, Fatigue, Pain and tenderness in the affected area, Blisters and sores may develop"
what are the treatments for smallpox?,"Vaccination, Antiviral drugs, Symptomatic relief"
what are the treatments for irritable bowel syndrome?,"Dietary changes, Fiber supplements, Medications to control bowel movements"
what are the treatments for huntington's disease?,"Medications to control movement and psychiatric symptoms, Physical therapy to maintain mobility and prevent falls, Speech therapy to improve communication and swallowing"
what are the treatments for inflammatory bowel disease?,"Medications to reduce inflammation, Immunosuppressants, Surgery (in severe cases)"
what are the treatments for menopause?,"Hormone therapy, Low-dose antidepressants, Gabapentin, Clonidine, Vaginal estrogen, Vaginal moisturizers and lubricants"
what are the symptoms of anxiety disorders?,"Excessive worrying, Feeling restless or on edge, Irritability, Difficulty concentrating, Muscle tension, Sleep problems, Panic attacks"
what are the treatments for giardiasis?,"Antibiotics, Anti-diarrheal medications, Rehydration therapy"
what are the treatments for primary biliary cirrhosis?,"Ursodeoxycholic acid (UDCA) to slow the progression of the disease, Vitamin and mineral supplements, Medications to relieve itching or other symptoms, Liver transplant in severe cases"
what are the symptoms of thyroid disease?,"Fatigue, Weight changes, Muscle weakness, Hair loss, Depression, Difficulty sleeping, Rapid heartbeat"
what are the symptoms of zika virus infection?,"Fever, Rash, Joint pain, Red eyes (conjunctivitis), Muscle pain, Headache"
what are the symptoms of hepatitis c?,"Fever, Fatigue, Joint pain, Muscle pain, Loss of appetite, Nausea, Vomiting, Abdominal pain, Dark urine, Jaundice"
what are the treatments for varicose veins?,"Compression stockings, Sclerotherapy, Laser treatment, Endovenous ablation therapy, Surgery"
what are the symptoms of candidiasis?,"Redness, Itching, Burning, Swelling, White patches on the tongue or inside the mouth, Pain during sex, Discharge"
what is hookworm infection?,Hookworm infection is caused by parasitic worms that live in the intestines. It is commonly found in areas with poor sanitation and can lead to anemia and malnutrition.
what are the treatments for cerebral palsy?,"Physical therapy, Occupational therapy, Speech therapy, Medications for muscle spasticity or seizures, Surgery in some cases"
what are the treatments for kidney stones?,"Drinking water to help pass the stone, Medications to relieve pain, Surgery (in severe cases)"
what are the treatments for muscular dystrophy?,"Physical therapy, Respiratory therapy, Orthopedic devices (e.g., braces, wheelchairs), Medications to improve muscle strength or delay progression of the disease"
what are the treatments for meningococcal disease?,"Antibiotics, Intravenous fluids, Oxygen therapy, Supportive care"
what are the symptoms of leukemia?,"Fatigue, Fever, Night sweats, Easy bruising or bleeding, Bone pain, Enlarged lymph nodes, Shortness of breath, Pale skin, Frequent infections, Weight loss, Headaches, Dizziness, Confusion, Seizures"
what are the symptoms of mycobacterium avium complex infection?,"Fever, Fatigue, Weight loss, Night sweats, Diarrhea, Abdominal pain, Persistent cough, Shortness of breath"
what are the symptoms of peyronie's disease?,"Bent penis during an erection, Erectile dysfunction, Pain during an erection, Shortening of the penis"
what are the symptoms of parkinson's disease?,"Tremors or shaking, usually in the hands, arms, or legs, Stiffness or rigidity of the limbs and trunk, Slow movement (bradykinesia), Impaired balance and coordination"
what are the treatments for neonatal tetanus?,"Antibiotics, Tetanus immunoglobulin, Supportive care"
what are the symptoms of candidiasis?,"Redness, Itching, Burning, Swelling, White patches on the tongue or inside the mouth, Pain during sex, Discharge"
what are the treatments for legionellosis?,"Antibiotics, Supportive care"
what are the treatments for emphysema?,"Quitting smoking, Medications such as bronchodilators, inhaled steroids, or oxygen therapy, Pulmonary rehabilitation, Lung volume reduction surgery, Lung transplant"
what are the treatments for cataracts?,"Prescription eyeglasses or contact lenses, Surgery to remove and replace the clouded lens"
what are the symptoms of measles?,"Fever, Cough, Runny nose, Red, watery eyes, Rash, Small white spots with bluish-white centers inside the mouth, Body aches"
what are the symptoms of influenza?,"Fever, Cough, Sore throat, Runny or stuffy nose, Body aches, Headache, Fatigue"
what are the treatments for leukemia?,"Chemotherapy, Radiation therapy, Stem cell transplant"
what is helminthiasis?,Helminthiasis is a parasitic disease caused by helminths.
what are the symptoms of bacterial meningitis?,"Fever, Headache, Stiff neck, Nausea and vomiting, Sensitivity to light, Confusion, Seizures, Coma"
what are the symptoms of deep vein thrombosis?,"Swelling in the affected leg, Pain or tenderness in the affected leg, Warmth in the skin over the affected leg, Red or discolored skin over the affected leg, Shortness of breath"
what are the symptoms of enterovirus infection?,"Fever, Headache, Muscle aches, Fatigue, Rash, Sore throat, Runny nose, Cough, Diarrhea, Vomiting, Meningitis, Encephalitis"
what are the symptoms of pneumococcal disease?,"Fever, Cough, Chest pain, Shortness of breath, Stiff neck, Headache"
what are the symptoms of hemorrhoids?,"Bleeding, Pain or discomfort, Itching"
what are the symptoms of kawasaki disease?,"Fever, Red eyes, Rash, Swollen lymph nodes, Swollen hands and feet, Strawberry tongue"
what are the treatments for spinal stenosis?,"Physical therapy, Pain medication, Steroid injections, Surgery"
what are the symptoms of haemophilus influenzae infection?,"fever, headache, stiff neck, fatigue, ear pain, difficulty breathing"
what are the treatments for obesity?,"Dietary changes, Increased physical activity, Behavioral therapy, Weight-loss medications, Bariatric surgery"
what are the treatments for erysipelas?,"Antibiotics, such as penicillin or erythromycin, Pain relievers, such as acetaminophen or ibuprofen, Elevating the affected limb to reduce swelling, Resting and staying hydrated"
what are the treatments for syphilis?,"Antibiotics, Penicillin injections, Regular testing"
what are the symptoms of multiple myeloma?,"Bone pain, especially in the back or ribs, Weakness or fatigue, Frequent infections, Nausea or vomiting, Constipation"
what are the symptoms of staphylococcal scalded skin syndrome?,"Fever, Redness of the skin, Blisters on the skin, Skin peeling"
what is graves' disease?,"Graves' disease is an autoimmune disorder that causes hyperthyroidism, or overactive thyroid."
what are the symptoms of hypothyroidism?,"Fatigue, Weight gain, Cold intolerance, Dry skin, Hair loss, Constipation, Depression, Muscle weakness, Joint pain"
what is obsessive-compulsive disorder (ocd)?,"Obsessive-compulsive disorder (OCD) is a mental disorder in which a person has uncontrollable, recurring thoughts (obsessions) and/or behaviors (compulsions) that he or she feels the urge to repeat over and over."
what are the treatments for migraine headaches?,"Pain-relieving medications such as aspirin or ibuprofen, Triptans, which are medications specifically designed to treat migraines, Preventive medications such as beta blockers or antidepressants, Avoiding triggers such as certain foods, stress, and lack of sleep, Resting in a quiet, dark room"
what are the symptoms of dengue fever?,"High fever, Severe headache, Joint and muscle pain, Nausea and vomiting, Rash, Pain behind the eyes, Fatigue"
what are the symptoms of herpes zoster?,"Pain, burning, or tingling on one side of the body, A rash that appears as a band or stripe on one side of the body, Blisters that break open and crust over, Itching, Fever, Headache, Sensitivity to light"
what are the treatments for botulism?,"Antitoxin, Ventilation support, Intensive care"
what are the treatments for mycoplasma pneumonia?,"Antibiotics, Anti-inflammatory medications, Rest and fluids"
what are the symptoms of leukemia?,"Fatigue, Fever, Night sweats, Easy bruising or bleeding, Bone pain, Enlarged lymph nodes, Shortness of breath, Pale skin, Frequent infections, Weight loss, Headaches, Dizziness, Confusion, Seizures"
what are the treatments for tendinitis?,"Rest, Ice, Compression, Elevation, Physical therapy, Medications, Surgery"
what are the symptoms of hantavirus pulmonary syndrome?,"fever, muscle aches, fatigue, shortness of breath, cough, headaches, abdominal pain"
what are the symptoms of diverticulitis?,"Abdominal pain, usually on the left side, Fever, Nausea, Vomiting, Constipation or diarrhea"
what are the treatments for conjunctivitis?,"Artificial tears, Antihistamine eye drops, Topical corticosteroids, Cold compresses, Warm compresses"
what are the symptoms of congenital heart defects?,"Blue or gray skin color, Shortness of breath, Fatigue, Swelling in the legs, abdomen, or areas around the eyes, Delayed growth and development (in infants and children)"
what are the symptoms of yeast infection?,"Vaginal itching, Burning sensation during urination, Pain during sexual intercourse, Swelling and redness of the vulva, White, thick, odorless vaginal discharge with a cottage cheese-like appearance"
what are the treatments for influenza?,"Rest, Drinking fluids, Pain relievers, Antiviral medication (in some cases)"
what are the treatments for coronary artery disease?,"Lifestyle changes such as a healthy diet and exercise, Medications such as aspirin and statins, Procedures such as angioplasty or bypass surgery"
what are the symptoms of shigellosis?,"Diarrhea (which may be bloody), Fever, Stomach cramps, Nausea, Vomiting"
what are the treatments for typhus?,"Antibiotics, Supportive care"
what are the symptoms of botulism?,"Double vision, Blurred vision, Drooping eyelids, Slurred speech, Difficulty swallowing, Dry mouth, Muscle weakness, Paralysis, Respiratory failure"
what are the treatments for sarcoidosis?,"Corticosteroids, Immunosuppressive medications, Biologic agents"
what are the treatments for candidiasis?,"Antifungal medication, Topical creams, Oral medication"
what are the treatments for alzheimer's disease?,"Medications, Non-drug treatments (e.g., cognitive stimulation therapy), Supportive therapies, Clinical trials"
what are the treatments for anthrax?,"Antibiotics, Antitoxins, Wound care"
what are the symptoms of alzheimer's disease?,"Memory loss, Difficulty completing familiar tasks, Language problems, Disorientation, Mood swings, Personality changes, Loss of motivation"
what are the symptoms of vibrio infection?,"Diarrhea, Abdominal pain, Nausea and vomiting, Fever, Chills, Low blood pressure"
what are the treatments for epilepsy?,"Antiepileptic drugs (AEDs), Surgery to remove the part of the brain causing seizures, Vagus nerve stimulation (VNS), Ketogenic diet"
what are the symptoms of intervertebral disc herniation?,"Back pain, Leg pain, Numbness or tingling in the legs or feet, Muscle weakness, Bowel or bladder problems"
what are the treatments for common cold?,"Rest, Fluids, Over-the-counter medications for symptom relief"
what are the treatments for myeloma?,"Chemotherapy, Radiation therapy, Stem cell transplant, Medications to strengthen bones, Pain management"
what are the symptoms of filariasis?,"Swelling of the limbs, genitalia, or breasts, Fever, Chills, Muscle and joint pain, Fatigue, Skin rash, Lymphedema"
what are the treatments for bipolar disorder?,"Mood stabilizing medications, Antidepressants, Antipsychotic medications, Psychotherapy, Electroconvulsive therapy (ECT) (in severe cases)"
what are the symptoms of myeloma?,"Bone pain, Fatigue, Increased susceptibility to infections, Kidney damage, Nausea and vomiting, Unexplained weight loss"
what are the symptoms of tularemia?,"Fever, Chills, Headache, Muscle aches, Joint pain, Dry cough, Progressive weakness"
what is common cold?,A viral infection of the upper respiratory tract.
what are the symptoms of necrotizing fasciitis?,"Intense pain, Swelling, Redness, Fever, Nausea and vomiting, Fatigue, Ulcers or blisters, Blackened or dead skin"
what are the treatments for pertussis?,"Antibiotics (to prevent the spread of the infection), Supportive care (e.g. fluids, rest, and nutrition), Vaccination (to prevent infection)"
what is pulmonary embolism?,"Pulmonary embolism is a blockage in one of the pulmonary arteries in the lungs. The blockage is usually caused by a blood clot that travels to the lungs from another part of the body, most commonly the legs."
what are the symptoms of high blood pressure (hypertension)?,"Headaches, Shortness of breath, Nosebleeds, Flushed face, Dizziness, Chest pain, Visual changes"
what are the symptoms of chronic kidney disease?,"Fatigue, Weakness, Loss of appetite, Swelling in the legs, Difficulty sleeping, Changes in urination (e.g., frequency, color, or smell)"
what are the treatments for human papillomavirus infection?,"Medications to treat warts, Surgery to remove abnormal tissue, Vaccines to prevent infection"
what are the symptoms of encephalitis?,"Fever, Headache, Stiff neck, Confusion, Seizures, Muscle weakness, Personality changes, Loss of consciousness"
what are the treatments for whiplash?,"Pain medication, Physical therapy, Chiropractic care, Muscle relaxants, Corticosteroid injections, Surgery (in rare cases)"
what are the treatments for thyroid disease?,"Thyroid hormone replacement therapy, Anti-thyroid medications, Radioactive iodine, Surgery"
what are the treatments for narcolepsy?,"Stimulant medications to promote wakefulness, Sodium oxybate (a medication that improves nighttime sleep and reduces daytime sleepiness), Antidepressants or other medications to control cataplexy or hallucinations, Lifestyle changes to improve sleep hygiene (e.g., avoiding caffeine and alcohol, establishing a regular sleep schedule)"
what are the symptoms of spinal stenosis?,"Pain or numbness in the legs or arms, Weakness in the legs or arms, Difficulty walking or maintaining balance, Loss of bowel or bladder control"
what is spondylitis?,"Spondylitis is a type of arthritis that affects the spine and can cause stiffness, pain, and reduced mobility."
what are the treatments for diabetes mellitus?,"Lifestyle changes (e.g. diet, exercise), Oral medications (e.g. metformin, sulfonylureas), Insulin therapy, Blood sugar monitoring, Regular check-ups with a healthcare provider"
what are the symptoms of chronic kidney disease?,"Fatigue, Weakness, Loss of appetite, Swelling in the legs, Difficulty sleeping, Changes in urination (e.g., frequency, color, or smell)"
what are the symptoms of influenza?,"Fever, Cough, Sore throat, Runny or stuffy nose, Body aches, Headache, Fatigue"
what are the symptoms of multiple sclerosis?,"Fatigue, Numbness or tingling in the limbs, Muscle weakness or spasms, Blurred or double vision, Difficulty with coordination and balance, Problems with speech and swallowing"
what are the treatments for tuberculosis?,"Antibiotics (such as isoniazid, rifampin, and ethambutol), Directly Observed Therapy (DOT) to ensure compliance with medication, Surgery (in severe cases), Vaccination (in some cases)"
what are the symptoms of coronary artery disease?,"Chest pain or discomfort, Shortness of breath, Heart palpitations, Nausea, Sweating"
what are the symptoms of peripheral artery disease (pad)?,"Painful cramping in hip, thigh or calf muscles after certain activities, such as walking or climbing stairs, Leg numbness or weakness, Coldness in your lower leg or foot, especially when compared with the other side, Sores on your toes, feet or legs that won't heal, A change in the color of your legs, Hair loss or slower hair growth on your feet and legs, Slower growth of toenails, Shiny skin on your legs, No pulse or a weak pulse in your legs or feet, Erectile dysfunction, especially in men with diabetes"
what are the symptoms of bacterial meningitis?,"Fever, Headache, Stiff neck, Nausea and vomiting, Sensitivity to light, Confusion, Seizures, Coma"
what are the symptoms of dental caries?,"Toothache or pain when eating or drinking, Sensitivity to hot or cold temperatures, Visible holes or pits in the teeth, Dark spots on the teeth, Bad breath or a bad taste in the mouth"
what are the symptoms of arthritis?,"Joint pain and stiffness, Swelling and redness around the joint, Limited range of motion, Fatigue, Fever"
what are the treatments for raynaud's disease?,"Avoiding triggers such as cold temperatures and stress, Medications to improve blood flow, Biofeedback"
what is tetanus?,"Tetanus is a bacterial infection that affects the nervous system. It is characterized by muscle stiffness and spasms, particularly in the jaw muscles."
what are the symptoms of emphysema?,"Shortness of breath, especially during physical activities, Wheezing, Chest tightness, Chronic cough, Lack of energy"
what are the symptoms of influenza?,"Fever, Cough, Sore throat, Runny or stuffy nose, Body aches, Headache, Fatigue"
what are the symptoms of lung cancer?,"Coughing up blood, Chest pain, Shortness of breath, Hoarseness"
what are the treatments for juvenile idiopathic arthritis?,"Medications to reduce inflammation and pain, Physical therapy to maintain joint mobility and strength, Occupational therapy to improve daily activities and quality of life"
what are the symptoms of chronic bronchitis?,"Persistent cough, Shortness of breath, Chest tightness"
what are the symptoms of pneumonia?,"Cough (with phlegm or without), Fever, Chills, Shortness of breath, Rapid breathing, Chest pain, Fatigue, Muscle aches, Nausea or vomiting"
what are the symptoms of yeast infection?,"Vaginal itching, Burning sensation during urination, Pain during sexual intercourse, Swelling and redness of the vulva, White, thick, odorless vaginal discharge with a cottage cheese-like appearance"
what are the symptoms of meningococcal disease?,"Fever, Headache, Stiff neck, Nausea and vomiting, Sensitivity to light, Confusion, Rash"
what are the treatments for mitral valve regurgitation?,"Medications to control blood pressure and reduce fluid buildup, Surgical repair or replacement of the mitral valve, Lifestyle changes, such as maintaining a healthy weight and quitting smoking"
what are the symptoms of hepatitis c?,"Fever, Fatigue, Joint pain, Muscle pain, Loss of appetite, Nausea, Vomiting, Abdominal pain, Dark urine, Jaundice"
what are the symptoms of lymphoma?,"Enlarged lymph nodes, Fever, Night sweats, Weight loss, Fatigue, Itching, Shortness of breath, Chest pain, Abdominal pain or swelling, Nausea, Vomiting, Loss of appetite, Headaches, Confusion, Seizures"
what are the treatments for sinusitis?,"Nasal decongestants, Saline nasal irrigation, Antibiotics, Steroid nasal sprays"
what are the treatments for hookworm infection?,"Anthelmintic medications, Iron supplements, Intravenous fluids"
what are the symptoms of muscular dystrophy?,"Muscle weakness, Frequent falls, Difficulty walking, Muscle stiffness or rigidity, Difficulty breathing"
what are the treatments for leukemia?,"Chemotherapy, Radiation therapy, Stem cell transplant, Targeted therapy, Biological therapy"
what is kidney stones?,Kidney stones are hard deposits of minerals and salts that form inside the kidneys.
what are the treatments for carotid artery disease?,"Lifestyle changes (e.g., diet, exercise), Medications (e.g., blood thinners, cholesterol-lowering drugs), Endarterectomy (surgical removal of plaque from artery), Angioplasty and stenting (using a balloon to widen the artery and placing a stent to hold it open)"
what are the symptoms of lymphoma?,"Enlarged lymph nodes, Fever, Night sweats, Weight loss, Fatigue, Itching, Shortness of breath, Chest pain, Abdominal pain or swelling, Nausea, Vomiting, Loss of appetite, Headaches, Confusion, Seizures"
what are the treatments for yeast infection?,"Antifungal creams, ointments, or suppositories, Antifungal oral medications, Boric acid suppositories, Probiotics"
what are the treatments for meningococcal disease?,"Antibiotics, Intravenous fluids, Oxygen therapy, Supportive care"
what are the treatments for herpes zoster?,"Antiviral medication, Pain relievers, Topical creams or gels, Cool, wet compresses, Rest"
what are the symptoms of mitral stenosis?,"Shortness of breath, Fatigue, Heart palpitations, Chest pain, Swelling in the legs or feet, Coughing up blood"
what are the symptoms of creutzfeldt-jakob disease?,"Rapidly progressive dementia, Muscle stiffness, Difficulty with coordination and movement"
what are the symptoms of typhus?,"Fever, Headache, Muscle pain, Nausea and vomiting, Rash, Cough"
what are the symptoms of urinary tract infection (uti)?,"Burning sensation during urination, Frequent urge to urinate, Passing small amounts of urine, Cloudy urine, Strong-smelling urine, Pelvic pain"
what are the treatments for scarlet fever?,"Antibiotics, Over-the-counter pain relievers (to reduce fever and discomfort)"
what are the treatments for peptic ulcer disease?,"Antibiotics to eliminate H. pylori bacteria, Proton pump inhibitors to reduce stomach acid production, H2 blockers to reduce stomach acid production, Antacids to neutralize stomach acid"
what are the symptoms of appendicitis?,"Pain in the lower right side of the abdomen, Nausea and vomiting, Loss of appetite, Fever, Constipation or diarrhea"
what are the treatments for intestinal obstruction?,"Surgery to remove the obstruction, Medications to relieve symptoms, Intravenous fluids and electrolytes"
what are the treatments for heart failure?,"Medications to improve heart function and control symptoms, Lifestyle changes (e.g., reducing salt intake, exercising regularly), Surgery (e.g., implanting a pacemaker, heart transplant)"
what are the symptoms of rheumatoid arthritis?,"Joint pain and stiffness, Swelling and tenderness in the joints, Fatigue"
what are the symptoms of respiratory syncytial virus infection?,"Runny or stuffy nose, Cough, Fever, Wheezing, Difficulty breathing"
what are the treatments for osteoarthritis?,"Over-the-counter pain relievers such as acetaminophen or nonsteroidal anti-inflammatory drugs (NSAIDs), Prescription medications such as COX-2 inhibitors or corticosteroids, Physical therapy or occupational therapy, Assistive devices such as braces or canes, Lifestyle changes such as losing weight, getting regular exercise, and avoiding activities that exacerbate symptoms"
what are the symptoms of hashimoto's thyroiditis?,"Fatigue and sluggishness, Weight gain, Depression"
what is mumps?,"Mumps is a viral infection that causes swelling of the salivary glands. It is spread through respiratory droplets and contact with contaminated surfaces. Mumps can also cause inflammation of the testicles, ovaries, and brain."
what is human papillomavirus infection?,"Human papillomavirus (HPV) is a viral infection that can cause genital warts and increase the risk of developing certain cancers, including cervical cancer."
what is cryptosporidiosis?,"Cryptosporidiosis is a parasitic infection caused by the Cryptosporidium parasite. It can cause diarrhea, stomach cramps, nausea, and vomiting."
what are the treatments for huntington's disease?,"Medications to control movement and psychiatric symptoms, Physical therapy to maintain mobility and prevent falls, Speech therapy to improve communication and swallowing"
what are the symptoms of multiple sclerosis?,"Fatigue, Numbness or tingling in the limbs, Muscle weakness or spasms, Blurred or double vision, Difficulty with coordination and balance, Problems with speech and swallowing"
what are the symptoms of peripheral artery disease (pad)?,"Painful cramping in hip, thigh or calf muscles after certain activities, such as walking or climbing stairs, Leg numbness or weakness, Coldness in your lower leg or foot, especially when compared with the other side, Sores on your toes, feet or legs that won't heal, A change in the color of your legs, Hair loss or slower hair growth on your feet and legs, Slower growth of toenails, Shiny skin on your legs, No pulse or a weak pulse in your legs or feet, Erectile dysfunction, especially in men with diabetes"
what are the treatments for west nile virus infection?,"There is no specific treatment for WNV infection, Over-the-counter pain relievers can help reduce fever and relieve some symptoms, In severe cases, hospitalization may be necessary for supportive care, such as intravenous fluids, pain management, and nursing care"
what are the symptoms of graves' disease?,"Anxiety and irritability, Weight loss, Rapid or irregular heartbeat"
what is sinusitis?,"Sinusitis is an inflammation or swelling of the tissue lining the sinuses, which can cause symptoms such as facial pain, pressure, or congestion."
what are the symptoms of gout?,"Intense joint pain, Swelling, Redness"
what are the symptoms of typhoid fever?,"Fever, Headache, Abdominal pain, Loss of appetite, Fatigue, Diarrhea or constipation, Rash"
what are the treatments for acne?,"Topical creams and gels containing benzoyl peroxide or retinoids, Oral medications such as antibiotics or isotretinoin, Chemical peels, Laser and light therapies"
what are the symptoms of ehrlichiosis?,"Fever, Headache, Muscle aches, Fatigue, Nausea, Vomiting, Diarrhea, Cough, Joint pain, Confusion"
what are the symptoms of lymphoma?,"Enlarged lymph nodes, Fever, Night sweats, Weight loss, Fatigue, Itching, Shortness of breath, Chest pain, Abdominal pain or swelling, Nausea, Vomiting, Loss of appetite, Headaches, Confusion, Seizures"
what are the treatments for parkinson's disease?,"Medications that increase dopamine in the brain, such as levodopa, dopamine agonists, and MAO-B inhibitors, Deep brain stimulation (DBS), a surgical procedure that involves implanting electrodes in the brain, Physical therapy to improve movement and balance, Speech therapy to improve voice and communication, Occupational therapy to improve daily activities"
what are the symptoms of giardiasis?,"diarrhea, abdominal cramps, bloating, nausea, fatigue, loss of appetite, weight loss"
what are the symptoms of crohn's disease?,"Abdominal pain and cramping, Diarrhea, Blood in your stool, Reduced appetite and weight loss, Fatigue, Fever"
